organization,count
Oracle Corporation,8
Taiwan Academic Network,8
DigitalOcean,8
CHARTER-20115,7
"CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation",7
CELLCO,7
SOFTLAYER,7
SWITCH-LTD,7
DNA,7
ATT-CERFNET-BLOCK,7
MONASHUNI-AU-AS-AP Monash University,7
BRM-AS,7
DINFOTECASN,7
PAIR-NETWORKS,7
UNIFIEDLAYER-AS-1,7
National Center for High-performance Computing,7
SK Broadband,7
Aliyun Computing Co.,7
Cloud Computing Corporation,7
iWeb Technologies,7
LeaseWeb Netherlands B.V.,7
Beijing Guanghuan Xinwang Digital,7
Bell Canada,7
"CNNIC-BAIDU-AP Beijing Baidu Netcom Science and Technology Co., Ltd.",6
"CHINANET-BACKBONE No.31,Jin-rong Street",6
ATT-INTERNET4,6
AS-26496-GO-DADDY-COM-LLC,6
BEGET-AS,6
HWCSNET Huawei Cloud Service data center,6
SINGLE-DIGITS,6
APEXNETWORKS,6
METROLOOP,6
KABELDEUTSCHLAND-AS,6
ONEANDONE-AS Brauerstrasse 48,6
Gridhost,6
BELPAK-AS BELPAK,6
TIMEWEB-AS,6
YANDEX LLC,6
"Shanghai Blue Cloud Technology Co.,Ltd",6
Huawei Clouds,6
Magyar Telekom,6
Microsoft Corporation,6
Maroc Telecom,6
Etisalat,6
ORACLE-BMC-31898,5
AS17054,5
WINDSTREAM,5
STANFORD,5
DESTINY-BACKBONE International Backbone,5
CENTURYLINK-US-LEGACY-QWEST,5
"BLUECLOUD Shanghai Blue Cloud Technology Co.,Ltd",5
LGDACOM LG DACOM Corporation,5
NETCUP-AS netcup GmbH,5
SETCOR,5
NWT-AS-AP AS number for New World Telephone Ltd.,5
MNET-AS Germany,5
Gtd Internet S.A.,5
TELEPAK-NETWORKS-INC,5
HANCOCKTEL,5
WGELD-ASN,5
EWETEL Cloppenburger Strasse 310,5
HTP-AS,5
RU-CENTER,5
China Telecom jiangsu province backbone,5
Master Internet s.r.o.,5
O2 Deutschland,5
Deutsche Telekom AG,5
Iomart Hosting Limited,5
GorillaServers,5
Codero,5
Gigabit Hosting Sdn Bhd,5
"JINHUA, ZHEJIANG Province, P.R.China.",5
1&1 Internet AG,5
Zurich University of Applied Sciences (ZHAW),5
Scaleway,5
University of Texas at Austin,5
Bharti Airtel,5
Comcast Cable,5
Spectrum,5
"DigitalOcean, LLC",5
Telmex,5
Spectrum Business,5
ARUBA-ASN,4
CHINANET-SH-AP China Telecom (Group),4
CHINA169-BACKBONE CHINA UNICOM China169 Backbone,4
ASN852,4
ASN-VINS,4
LLL-TIS-AS,4
TNF-AS,4
NTHL,4
LSUAGCENTER,4
COGENT-174,4
TELEF�NICA BRASIL S.A,4
AARNET-AS-AP Australian Academic and Research Network (AARNet),4
ASN-CATCHCOM,4
"TRANSIP-AS Amsterdam, the Netherlands",4
YANDEXCLOUD,4
NV-ASN CELLCOM ltd.,4
RMH-14,4
ETC,4
SAARGATE-AS Nell-Breunig-Allee 6,4
ATT-MOBILITY-LLC-AS20057,4
EMOME-NET Mobile Business Group,4
TATACOMM-AS TATA Communications formerly VSNL is Leading ISP,4
BBIL-AP BHARTI Airtel Ltd.,4
LIQUIDWEB,4
Gobierno del Estado de Guanajuato,4
TE-AS TE-AS,4
GR-NET http://www.grnet.gr,4
A2HOSTING,4
Associa��o Rede Nacional de Ensino e Pesquisa,4
Seoul National University,4
Fundação Carlos Chagas Filho de Amparo a Pesquisa,4
China Telecom (Group),4
HEG US,4
BT,4
"Thai Social/Scientific, Academic and Research Netw",4
VNPT,4
Beijing Kingsoft Cloud Internet Technology Co.,4
China Education and Research Network Center,4
Secured Servers LLC,4
Syptec,4
Mail.Ru LLC,4
SaudiNet,4
ASGARR Consortium GARR,3
IT7NET,3
RAGINGWIRE,3
RCS-RDS 73-75 Dr. Staicovici,3
MASTER-AS Czech Republic / www.master.cz,3
ZNET,3
SELECTEL,3
ASIATECH,3
TELENET-AS,3
ALGAR TELECOM S/A,3
TELEKOM-AT A1 Telekom Austria AG,3
CNIX-AP China Networks Inter-Exchange,3
GD-EMEA-DC-SXB1,3
WESTCLOUDDATA Ningxia West Cloud Data Technology Co.Ltd.,3
AMERICAN-EXPRESS,3
NOVASOUTHEASTERNAS,3
WISCNET1-AS,3
HKTIMS-AP HKT Limited,3
BN-AS Belarussian data communication service provider.,3
FSKNET-DK Forskningsnettet - Danish network for Research and Education,3
TWC-11427-TEXAS,3
TELKOMNET-AS2-AP PT Telekomunikasi Indonesia,3
CHINA169-BJ China Unicom Beijing Province Network,3
CNSERVERS,3
EIDSIVA-ASN,3
IS-AS-1,3
LVLT-3549,3
NTU-TW National Taiwan University,3
KIT Karlsruhe Institute of Technology,3
ASN-HOSTNORDIC,3
OPALTELECOM-AS TalkTalk Communications Limited,3
BLUE-VALLEY,3
INOC,3
France Telecom - Orange,3
FINECOM Quickline AG,3
MARANDU COMUNICACIONES SOCIEDAD DEL ESTADO,3
UKWEB-EQX,3
BSKYB-BROADBAND-AS,3
TWC-10796-MIDWEST,3
MEO-RESIDENCIAL,3
TOTAL-SERVER-SOLUTIONS,3
CLARO S.A.,3
ASN-CXA-ALL-CCI-22773-RDC,3
TELEFONICA_DE_ESPANA,3
PARTNER-AS,3
Telefonica de Argentina,3
SELECTEL-MSK,3
VIETEL-AS-AP Viettel Group,3
Telconet S.A,3
UNIVERSIDADE FEDERAL DE SANTA MARIA,3
INTERNET-PRO-AS,3
"TRANSTELECOM Moscow, Russia",3
PS,3
MASHHAD-MUNICIPALITY-ITC,3
Telecom Italia Business,3
IP ServerOne Solutions Sdn Bhd,3
Vodafone Portugal,3
Bouygues Telecom,3
Wind Tre,3
National Infrastructures for Research and Technolo,3
"The University of Melbourne, Melbourne, Victoria",3
Verizon Fios,3
Greek Research and Technology Network S.A,3
Universitaet Bielefeld,3
Beijing Xiaoju Science and Technology Co.,3
IHS Telekomunikasyon Ltd,3
Icidc Network,3
NexG Co.,3
Australian Academic and Research Network (AARNet),3
China Mobile,3
University of Virginia,3
University of Athens,3
netcup GmbH,3
Comcast Business,3
Orange,3
Jiangsu ZhenJiang IDC network,3
Servers.com,3
OVH Sp. z o. o.,3
Tata Communications,3
myLoc managed IT AG,3
EGIHosting,3
Netlife,3
Beijing Qihu Technology Company Limited,3
HK Broadband Network,3
Oracle Cloud,3
Rogers Cable,3
Claro Dominican Republic,3
SPARKSTATION-SG-AP 10 Science Park Road,2
STRATO STRATO AG,2
UNICOM-CN China Unicom IP network,2
CDSI,2
OTENET-GR Athens - Greece,2
TRENTINODIGITALE-AS,2
GREEN green.ch AG Autonomous System,2
"ZAQ Jupiter Telecommunications Co., Ltd.",2
AS-COLOCROSSING,2
BELNET,2
PRESS-SERVICE-AS,2
DEERE,2
GHGSC-AS1,2
SWITCH Peering requests: (peering@switch.ch),2
FNIS,2
ULAKNET,2
Universo Online S.A.,2
ATS-GLNET-SG Acclivis Technology Solution,2
IPG-AS-AP Philippine Long Distance Telephone Company,2
Telmex Colombia S.A.,2
"DE-IORG-AS-1 Pennefeldsweg 12, D-53177 Bonn, Germany",2
"RTD Bucharest, Romania",2
HWSERVICES-32400,2
KPN KPN National,2
T-HT Croatian Telecom Inc.,2
KBZ,2
CASABLANCA-AS Internet & Collocation Provider,2
AS6834,2
LEVEL3,2
INET-TH-AS Internet Thailand Company Limited,2
ASN-CLOUDITALIA,2
NETSTREAM-,2
GTT-BACKBONE GTT,2
"UNINETT UNINETT, The Norwegian University & Research Network",2
"TMNET-AS-AP TM Net, Internet Service Provider",2
N-T-C,2
WISC-MADISON-AS,2
ATGS-MMD-AS,2
INTERNAP-2BLK,2
TDC TDC A/S,2
EPBTELECOM,2
IMDC-AS12025,2
EMIRATES-INTERNET Emirates Internet,2
ZAYO-6461,2
PROXAD,2
ERX-CERNET-BKB China Education and Research Network Center,2
CHINANET-IDC-GD China Telecom (Group),2
TTSL-MEISISP Tata Teleservices ISP AS,2
VDSINA-AS,2
IDCF IDC Frontier Inc.,2
EPM Telecomunicaciones S.A. E.S.P.,2
LGTELECOM-AS-KR LGTELECOM,2
KNU-AS Kyungpook National University,2
WORLDSTREAM,2
IOMART-AS,2
FRANKLIN-KY-FIBERNET,2
AS15704,2
IWAY,2
PLUSNET *****************,2
COMPLUS-ASN,2
JPRDIGITAL-IN JPR Digital Pvt. Ltd.,2
WAG Bredenhop 20,2
TNG-AS TNG Stadtnetz GmbH,2
NOS_COMUNICACOES,2
ERX-STAR HKT Limited,2
VNPT-AS-VN VNPT Corp,2
STARMAN,2
TSF-IP-CORE Telia Finland Oyj,2
CMCTELECOM-AS-VN CMC Telecom Infrastructure Company,2
ASINNOVAPUGLIA http://www.innova.puglia.it,2
SAUDINETSTC-AS,2
DE-FIRSTCOLO www.first-colo.net,2
APPRISS,2
SHAW,2
LIMESTONENETWORKS,2
NETMAGIC-AP Netmagic Datacenter Mumbai,2
JANET Jisc Services Limited,2
MNGTNET,2
Telecom Argentina S.A.,2
FUNETAS,2
METRO-AS,2
SINGLEHOP-LLC,2
CTRLS-AS-IN CtrlS Datacenters Ltd.,2
TIKONAIN-AS Tikona Infinet Ltd.,2
ASN-WINDTRE IUNET,2
CRYSTALTECH,2
VIL-AS-AP Vodafone Idea Ltd,2
DIMENOC,2
MYLOC-AS IP Backbone of myLoc managed IT AG,2
NETPLAZA-AS,2
CIZGI,2
BIGLOBE BIGLOBE Inc.,2
FPT-AS-AP The Corporation for Financing & Promoting Technology,2
NEXTGENTEL NEXTGENTEL Autonomous System,2
UPCLOUD,2
STCS-AS,2
EXABYTES-AS-AP Exa Bytes Network Sdn.Bhd.,2
MPONLINELTD-AS-IN MPOnline Ltd,2
BELSVYAZ-AS,2
DOLIST-AS,2
ASN-AZISTA,2
Media Commerce Partners S.A,2
COMNET-ASN,2
LEASEWEB-USA-SFO-12,2
HOMEPL-AS,2
"REDCOM-AS Redcom, Khabarovsk, Russia",2
ROSTOV-AS,2
ELIGHT-AS,2
"IHCRU Internet-Hosting Ltd, Moscow, Russia",2
UKRPACK,2
HWCLOUDS-AS-AP HUAWEI CLOUDS,2
IT7 Networks,2
State of New Mexico,2
Redstation Limited,2
JSC Kazakhtelecom,2
ServerNow s.r.o.,2
ShenZhen Topway Video Communication Co.,2
PJSC Ukrtelecom,2
408 Fl4 CATTOWER,2
"Zhengzhou Fastidc Technology Co.,Ltd.",2
Indiana University,2
CAT Telecom Public Company Limited,2
WorldStream B.V.,2
China Mobile Shandong,2
Web.com,2
CJ Hello Internet,2
Radore Veri Merkezi Hizmetleri A.S.,2
HIVELOCITY,2
University of Houston,2
Sharif University Of Technology,2
Cnservers LLC,2
AT&T U-verse,2
CMC Telecom Infrastructure Company,2
Aofei Data International Company Limited,2
Viettel Group,2
University of Waterloo,2
shanghai science and technology network communicat,2
Vietnam Posts And Telecommunications Group,2
Texas Tech University,2
Profitbricks GmbH,2
Iliad-Entreprises,2
Chungnam National University,2
Singapore Telecommunications,2
Columbia University,2
Cjsc The First,2
University of Utah,2
Web Werks India Pvt.,2
Computer Network Information Center,2
National Technical University of Athens,2
Cloud Solutions LLC,2
LG DACOM Corporation,2
National Chiao Tung University,2
Psychz Networks,2
ThinkDream Technology Limited,2
Cybera,2
Virgin Media,2
University of California at Berkeley,2
Aixit GmbH,2
Massachusetts Institute of Technology,2
Netmagic Datacenter Mumbai,2
OOO Network of data-centers Selectel,2
Cyber Internet Services (Pvt),2
Binario Distribuidora de Equipamentos Eletronicos,2
FPT Telecom Company,2
Guangzhou NetEase Computer System Co.,2
Joint Institute for Nuclear Research,2
"University of California, Los Angeles",2
DIGI Tavkozlesi es Szolgaltato Kft.,2
RCS & RDS Residential,2
True Internet,2
eww ag,2
Amazon CloudFront,2
Swiss Federal Institute of Technology Zurich,2
Cox Business,2
OJSC Ufanet,2
Vodafone Italia DSL,2
POSTECH-AS-KR Pohang University of Science and Technology,1
SPC-12,1
ERX-TANET-ASN1 Taiwan Academic Network (TANet) Information Center,1
xneelo,1
EXOSCALE,1
EAM,1
UCSB-NET-AS,1
AS-GLOBALTELEHOST,1
HOSTEUR-NET-CORE Hosteur NETWORK CORE,1
GLOBALCONNECT-AS,1
CENTURYLINK-LEGACY-SAVVIS,1
SUNRISE,1
COSMOSTV-AS,1
DISIC-RIE-AS,1
CHINATELECOM-JIANGSU-ZHENJIANG-IDC Jiangsu ZhenJiang IDC network,1
"ICNET Jupiter Telecommunications Co., Ltd.",1
AS-COMPLETEL,1
UOW-AU 1 northfields av,1
JAGUAR-AS,1
STWKUFSTEIN-AS Fischergries 2,1
ORANGE_BELGIUM_SA KPN Belgium Business NV has been acquired by Mobistar,1
IPHOST .GR IpDomain,1
SERVER-CLOUD-CANADA,1
TMA Rennweg 97-99,1
NCSU,1
"Megacable Comunicaciones de Mexico, S.A. de C.V.",1
LDSCHURCH1,1
AS-NETIA Warszawa 02-822,1
SERVERCENTRAL,1
FIBERNET-DIRECT,1
FIBER,1
COGECO-PEER1,1
AXAUTSYS ARAX AS,1
TECHSTORAGE,1
NETPLUS,1
USC-AS,1
RUPOST-AS,1
ESTPAK,1
SKRILL,1
H3G-AUSTRIA-AS ==) TELE2 AUSTRIA (==,1
"GLOBALREACH-AP Globalreach eBusiness Networks, Inc.",1
"PIRIX-INET-AS PIRIX, St.Petersburg, Russia",1
ONLINE-TECH-LLC3,1
ASN-OMD-FNO Orange Moldova Fixed Network Autonomous System,1
CALERO,1
SLOVANET http://www.slovanet.net/,1
"PROFINET-AT Vienna, Austria",1
MASSACHUSETTS,1
FUSE-NET,1
ASN1,1
"ETPI-IDS-AS-AP Eastern Telecoms Phils., Inc.",1
DATACHAMBERS,1
HARBOURSAT-AS-AP Harbour IT Pty Ltd,1
ASN-CBN PT Cyberindo Aditama,1
KDDI KDDI CORPORATION,1
Tribunal Regional Federal,1
RACKSPACE-LON,1
CIS-AS-IN Cyber Infrastructure (P) Limited,1
CHPL-AS-AP Cloud Himalaya Pvt Ltd,1
Orbyta S.A.,1
ONR-ASN,1
FORTH-AS,1
OPUSV-AU OpusV Technology Group,1
NETCAST-DOO,1
MYNET-AS,1
ANOTHER9 t/a Another9,1
PDDA-AS,1
VIANET,1
"MTSNET Moscow, Russia",1
"THREE-AS-ID Hutchison CP Telecommunications, PT",1
USPTO,1
H5-DATA-CENTERS-DENVER,1
INDOSATM2-ID INDOSATM2 ASN,1
NPC-P1,1
INFOMANIAK-AS,1
NBCUNI-17035,1
KUBANGSM,1
TFIBER Strada Peroni nr. 45,1
SERVICO FEDERAL DE PROCESSAMENTO DE DADOS - SERPRO,1
FCPS,1
THREE-AS-ID PT Hutchison 3 Indonesia,1
PBSPL-AS Panchsheel Broadband Services Private Limited,1
QRATOR,1
DFN Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,1
Blankenburg Comunica��es Ltda,1
MISSISSIPPI-STATE-GOVERNMENT,1
TEAMWARE-AS,1
"ZSTTKAS Novosibirsk, Russia",1
TRIWEST-HA-DC1,1
SUC-CORP1,1
AS8240 ASO Autonomous System,1
GDS-1,1
HP_WEBSERVICES,1
SNP-AS,1
COLOMBIA TELECOMUNICACIONES S.A. ESP,1
UNINET-AS-AP UNINET-,1
NMCOURTS-ASN,1
WFC-ASN,1
CLEAR-ACCESS,1
CTC. CORP S.A. (TELEFONICA EMPRESAS),1
INVOLTA,1
SYNAMEDIA-AS,1
BYTEMARK-AS,1
"Alestra, S. de R.L. de C.V.",1
SYMANTEC-CORPORATION,1
TELENOR-NEXTEL Telenor Norge AS,1
TELEHOUSE,1
ASN-TELSTRA Telstra Corporation Ltd,1
OTPBANK-RUS,1
VIRTUSTREAM-,1
CO-DATACENTER,1
CTTNET China TieTong Telecommunications Corporation,1
ITRELATION-AS,1
Unifique Telecomunica��es SA,1
DU-AS1,1
IQVIA-CARLSTADT,1
UNINET-AS-MFU Mae Fah Luang University,1
CIL-AS-HK-AP Collinson International (Hong Kong) Limited,1
WOW-INTERNET,1
DSINET-ASN,1
DETASAD,1
TROLLFJORD,1
BACKBONE-CONNECT,1
SACRAMENTO-COE,1
CSLOXINFO-AS-AP CS LOXINFO PUBLIC COMPANY LIMITED,1
ELTELE,1
Convex Internet Solutions,1
UOGUELPH,1
SES-LUX-AS,1
VXCHNGE-TX01,1
TMOBILE-THUIS,1
ADVANTAGE,1
INSYS-AS INSYS ISP,1
Mandic S.A.,1
"ACENS_AS (Spain) Hosting, housing and VPN services",1
HURRICANE,1
HUTCHISON-AS-AP HGC Global Communications Limited,1
ALTIBOX_AS Norway,1
BCI,1
TELEKOM-AS,1
AS-TIERP-19019,1
BCNET-AS,1
IDNIC-BIZNETGIO-AS-ID PT Biznet Gio Nusantara,1
BEON-AS-ID PT. Beon Intermedia,1
EVANZOAS,1
LIVENET-,1
SERVERHUB-NL,1
BCPL-SG BGPNET Global ASN,1
HOSTHATCH,1
WII,1
MICONET-AS,1
NTHU-TW National Tsing-Hua University,1
GEORGIA-TECH,1
LINETS CHILE SPA,1
UWATERLOO,1
ASN-FIZ,1
SYRACUSE-UNIVERSITY,1
YONSEI-AS-KR Yonsei University,1
SHABAKIEH-ESFAHAN,1
COFAN,1
CNGI-CD-IX-AS-AP CERNET2 IX at University of Electronic Science and Technology of China,1
CSTNET-AS-AP Computer Network Information Center,1
DATABANK-DFW,1
FDI,1
NETWORK-LEAPSWITCH-IN LeapSwitch Networks Pvt Ltd,1
NICNET-VSNL-BOARDER-AP National Informatics Centre,1
ASN-TIM Service Provider,1
SBNETWORKS-AS-IN Sb Networks,1
DIGITAL-REALTY-UK,1
AS5413,1
RMIFL,1
Vodafone,1
CLOUDSCALE,1
ROGERS-COMMUNICATIONS,1
BEACHHEADGROUP-AS-AP Beachhead Group Pty. Ltd.,1
VINAKOM,1
MECHANICSVILLE,1
ASDOKOM,1
BUCHHOLZ-DIGITAL Buchholz Digital GmbH,1
Dinamica Telecomunicacoes Ltda,1
TELENET-AS Bauhoferstr. 9/1 - 89077 Ulm,1
TELEMAXX,1
LWLCOM,1
INTERNET-CG,1
"BALIFIBERNET-AS-ID PT Bali Towerindo Sentra, Tbk",1
NCREN,1
KREONET-AS-KR KISTI,1
KINSNET-AS-KR Korea Institute of Nuclear Safety,1
CISCOSYSTEMS,1
ARTCOMS-AS,1
SINGNET SingNet,1
DALUNIV,1
HKBNES-AS-AP HKBN Enterprise Solutions HK Limited,1
TESSERAKT-UK,1
"CCS-LEEDS-ASN Unit A, Seacroft Trade Park",1
SD-NET,1
STATE-OF-WYOMING-ASN,1
ASWASKO,1
WEBEL-1,1
PL-PPNT-DC-AS,1
AGIT-AS-ID PT Astra Graphia Information Technology,1
"CAT-AP The Communication Authoity of Thailand, CAT",1
CLOUDWEBMANAGE-UK-1,1
PAICHAI-AS PAICHAI UNIVERSITY,1
WIN-DSL-ASN,1
BERN,1
FUNDAMENTS-AS,1
UNE-AS-AP University of New England,1
ASN-AMUSER,1
MIMEOCOMINC,1
AS-TKCHOLDINGS-LLC,1
KMS-DE_AS,1
SNLV-AS,1
OCN NTT Communications Corporation,1
CESNET2,1
Credit Agricole,1
ASN-ITNET,1
EOLAS-AS,1
ABARI,1
RADORE,1
RCN-AS,1
Afrihost,1
ANGKASA-KOMUNIKASI-ID PT Angkasa Komunikasi Global Utama,1
"NEXG-AS-KR NexG Co., LTD",1
TELLCOM-AS,1
DE-VSM-ASN Peering,1
NEWMN,1
TWC-11351-NORTHEAST,1
TPMNETWORK-AS-AP TPM Corp. Berhad,1
SOMEI-AS,1
YARDI,1
TNNET-AS TNNet Oy Main network,1
ATMC,1
TEXIM-AS,1
IHSM-AS27205,1
USYD-AS-AP University of Sydney,1
CMNET-ZHEJIANG-AP China Mobile communications corporation,1
TBSH-CLIENT-TRISTAR-BYTEHOUSE,1
NETAGO,1
NSTELCO,1
MHNET TELECOM,1
ASN-IBSNAZ,1
Telefonica del Peru S.A.A.,1
"DIGITAL-WAVE-MY Level 12 Menara Sunway, Jalan Lagoon Timur",1
SUPRANET-WIS,1
SUNET SUNET Swedish University Network,1
DTP-AS,1
WEST-NET-WEST,1
EURONIC,1
ENTEL CHILE S.A.,1
IBH-AS,1
AS20712 Andrews & Arnold Ltd,1
EASTLINK-HSI,1
"CANTV Servicios, Venezuela",1
BOUYGTEL-ISP,1
FASTWEB,1
FRONTIER-FRTR,1
TISCALI-,1
"HOL-GR Athens, Greece",1
"BISPING ISP & Citycarrier, Germany",1
KOMDSL,1
VITROCONNECT-AS,1
CONFIGO-AS,1
WELLCOM Kabelplus GmbH (vormals B.net/Wellcom),1
NPOTELEMETRY-AS,1
TWC-20001-PACWEST,1
"CHINA-ABITCOOL 21Vianet.Co.,Ltd",1
GIGACLOUD-AS,1
CILNET Comunicacao e Informatica LTDA.,1
SKG_NW-AS-KR SK Telecom,1
HLKOMM 04107 Leipzig,1
MK-NETZDIENSTE-AS,1
DTST_AS_01,1
TDDE-ASN1,1
DELUNET,1
NAO,1
TRUESERVER-AS TrueServer BV AS number,1
MCIT,1
ASN-METANET Routing/peering issues: noc@metanet.ch,1
APSIS,1
VIPNAS1,1
ARCADIA-AS,1
CSUNET-NW,1
NASK-COMMERCIAL,1
CONCORD,1
US-TELEPACIFIC,1
ANTIETAM,1
NETERRA-AS,1
CW-AP1 Coastalwatch.,1
TTNET,1
LONDSTOCK-AS,1
SAMSUNGGROUP SamsungSDS Inc.,1
BCTBY-AS,1
CMIN,1
AS12348 Hermann-Glockner-Str. 7,1
SIRIUS-AS,1
MNSHA-AS,1
TELECOM-HK Hong Kong Telecom Global Data Centre,1
MIRS-AS,1
SCC-ASN-31004,1
GHANATEL-AS,1
TT_MOBIL Istanbul,1
MONMOUTH,1
ENGINEER-NETWORKS-TELECOM-RU-AS,1
VECTANT ARTERIA Networks Corporation,1
LEASEWEB-USA-WDC-01,1
MIHOSNET,1
ELECTRONICAMARTINEZ-AS,1
Secretaria de Finanzas del Gobierno del Estado de Jalisco,1
TRANSLINK,1
KBT Koos Broadband Telecom,1
TWA-AS-AP Transworld Associates (Pvt.) Ltd.,1
CDM,1
AHOSTING,1
HOSTLINE,1
WESTCALL-SPB-AS,1
COMPLAT-AS,1
ZOL-AS,1
CLARANET-AS ClaraNET LTD,1
FLEXLTD-AS,1
I-and-M-Bank,1
FWSPL-AS-AP Fusionnet Web Services Private Limited,1
FREEHOST,1
ERTH-CHEL-AS,1
MIRHOSTING,1
UNIV-OF-OKLAHOMA,1
SUG-1,1
NMSU,1
ATLAX,1
ASN-LEPIDA,1
XL-AS,1
EVOLVING-AS Str Pitesti Nr 16 Cluj-Napoca,1
INDEPENDENTSFIBERNETWORK,1
HOSTERSAS,1
AS-TIERP-17113,1
Neotel-AS,1
BAHNHOF http://www.bahnhof.net/,1
PSCA-AS-AP Punjab Safe City Authority,1
CNCGROUP-SZ China Unicom Shenzen network,1
iCONNECT,1
MEDIACOM-ENTERPRISE-BUSINESS,1
EVOLIX-AS,1
RENOVENET TELECOMUNICACOES LTDA - ME,1
RURALWAVE-LTD,1
ETB - Colombia,1
LINTASARTA-AS-AP Network Access Provider and Internet Service Provider,1
ZTELECOM-AS,1
LEASEWEB-APAC-SIN-11 Leaseweb Asia Pacific pte. ltd.,1
SEOKYUNG-CATV-AS-KR Seokyung Cable Television Co.. Ltd.,1
MIDCO-NET,1
AMAZON EXPANSION,1
GOANET,1
SILVERIP-MW-ASN,1
VODAFONE-TRANSIT-AS Vodafone NZ Ltd.,1
KCELL-AS,1
SEACOM-AS,1
TECHDIGITAL-AS,1
KAPPERNET,1
ATL-CBEYOND,1
GLOBE-TELECOM-AS Globe Telecoms,1
MF-DV-AS,1
ONE,1
BEZEQ-INTERNATIONAL-AS Bezeqint Internet Backbone,1
ITCC-CLOUD,1
HGE-NET,1
DRAVANET-AS,1
ICONPLN-ID-AP-ISP PT INDONESIA COMNETS PLUS,1
CLOUDSIGMA-AS,1
CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited,1
EPSILON-INTERACTIVE,1
GLOBALCONNECT-NETWORK,1
Telemar Norte Leste S.A.,1
ZONE-AS,1
CRONOS,1
SFR-BUSINESS-TEAM SFR Business Team,1
ITGATE,1
ASN-KAIST-SAL Korea Advanced Institute of Science and Technology,1
CNU-AS-KR Chonnam National University,1
DISTRIBUTEL-AS11814,1
ROCKET-FIBER,1
WIRESTAR,1
MTT-AS-VN Minh Tu Telecom Limited Company,1
ASN-BBBELL,1
SUNET-IP-RUNKO,1
ASDETUK http://www.heficed.com,1
ASN-GAMMATELECOM,1
NHANHOA-AS-VN NhanHoa Software company,1
GSNU-AS-KR GyeongSang National University,1
SAMTELECOM-AS,1
ASOPTIMASET,1
MIZ,1
CEDIA,1
UKCLOUD-AS,1
TCI,1
LATISYS-IRVINE,1
ENVIA-TEL-AS D-09114 Chemnitz,1
ONESTREAMNETWORKS,1
IDNIC-JALANET-AS-ID PT. Jupiter Jala Arta,1
FLYNET TELECOM LTDA - ME,1
NTL,1
GIGABIT-,1
INTERNETUNION1,1
INCERO-HVVC,1
GREENHOUSE-WA,1
KTNET-AS Korea Trade Network,1
TPNET,1
NETDYNAMICS,1
RINET-AS Cronyx Plus Ltd,1
NAITWAYS-AS,1
NETCOLOGNE,1
ASQUICKNET Kabelfernsehn Boedeli in Interlaken (Switzerland),1
